team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
Houston,-0.2,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,7,0,2018,2018
Montana,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
College of Charleston,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
Florida,-0.2,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2018,2018
UNC Greensboro,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
Murray St.,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
South Dakota St.,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
St. Bonaventure,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
New Mexico St.,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
Auburn,-0.4,-0.5,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2018,2018
San Diego St.,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Providence,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
Davidson,-0.6,-0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Arkansas,-0.6,-0.9,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
North Carolina St.,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Ohio St.,-0.6,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,11,1,2018,2018
Oklahoma,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2018,2018
Missouri,-0.7,-0.7,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Texas,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Virginia Tech,-0.7,-0.7,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Miami FL,-0.8,-1.1,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
Creighton,-0.8,-0.7,0,1,0,1,0,0,0,0,0,0,0,1,0,2018,2018
TCU,-0.9,-1.1,0,1,0,1,0,0,0,0,0,0,0,3,0,2018,2018
Tennessee,-1,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,12,2,2018,2018
Michigan St.,-1.1,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,17,4,2018,2018
Xavier,-1.1,-2.3,1,1,0.5,1,1,0,0,0,0,0,1,14,2,2018,2018
Arizona,-1.1,-1.5,0,1,0,1,0,0,0,0,0,0,0,3,0,2018,2018
Wichita St.,-1.2,-1.5,0,1,0,1,0,0,0,0,0,0,0,3,0,2018,2018
North Carolina,-1.3,-1.4,1,1,0.5,1,1,0,0,0,0,0,1,20,3,2018,2018
Cincinnati,-1.6,-1.4,1,1,0.5,1,1,0,0,0,0,0,1,27,8,2018,2018
Virginia,-3.2,-3.3,0,1,0,1,0,0,0,0,0,0,1,39,15,2018,2018
Virginia,2.6,2.7,6,0,1,1,1,1,1,1,1,1,1,46,17,2019,2019
Texas Tech,2.3,3.2,5,1,0.833,1,1,1,1,1,1,0,0,26,9,2019,2019
Auburn,2.2,2.9,4,1,0.8,1,1,1,1,1,0,0,0,12,2,2019,2019
Oregon,1.4,1.5,2,1,0.667,1,1,1,0,0,0,0,0,1,0,2019,2019
Michigan St.,1.3,1.6,4,1,0.8,1,1,1,1,1,0,0,1,31,7,2019,2019
UC Irvine,0.7,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Liberty,0.7,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Purdue,0.6,1.2,3,1,0.75,1,1,1,1,0,0,0,0,20,4,2019,2019
Minnesota,0.6,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Ohio St.,0.6,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Murray St.,0.5,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Iowa,0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Baylor,0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
LSU,0.4,0.2,2,1,0.667,1,1,1,0,0,0,0,0,6,0,2019,2019
Florida St.,0.4,0.5,2,1,0.667,1,1,1,0,0,0,0,0,4,0,2019,2019
Washington,0.4,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Kentucky,0.4,0.6,3,1,0.75,1,1,1,1,0,0,0,1,26,5,2019,2019
Villanova,0.4,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2019,2019
Oklahoma,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2019,2019
UCF,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2019,2019
Florida,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2019,2019
Duke,0.2,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,33,8,2019,2019
Buffalo,0.1,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2019,2019
Virginia Tech,0.1,0.5,2,1,0.667,1,1,1,0,0,0,0,0,12,1,2019,2019
Fairleigh Dickinson,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Wofford,-0,0.1,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2019,2019
Gardner Webb,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
North Dakota St.,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Iona,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Bradley,-0,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Abilene Christian,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Montana,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Houston,-0.1,0.2,2,1,0.667,1,1,1,0,0,0,0,0,15,2,2019,2019
Northern Kentucky,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Colgate,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Old Dominion,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Georgia St.,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Maryland,-0.1,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,3,0,2019,2019
Saint Louis,-0.1,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Northeastern,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Yale,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Tennessee,-0.3,-0.4,2,1,0.667,1,1,1,0,0,0,0,1,17,3,2019,2019
Vermont,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
New Mexico St.,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Arizona St.,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Seton Hall,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Kansas,-0.4,-0.5,1,1,0.5,1,1,0,0,0,0,0,0,5,0,2019,2019
Gonzaga,-0.4,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,42,17,2019,2019
Mississippi,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Belmont,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Michigan,-0.5,-0.4,2,1,0.667,1,1,1,0,0,0,0,1,21,7,2019,2019
Nevada,-0.5,-0.9,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
VCU,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,1,0,2019,2019
Syracuse,-0.7,-0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Utah St.,-0.7,-0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Saint Mary's,-0.8,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2019,2019
North Carolina,-0.8,-1.3,2,1,0.667,1,1,1,0,0,0,0,1,31,6,2019,2019
Cincinnati,-0.9,-0.9,0,1,0,1,0,0,0,0,0,0,0,2,0,2019,2019
Marquette,-0.9,-1.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2019,2019
Louisville,-1,-0.9,0,1,0,1,0,0,0,0,0,0,0,3,0,2019,2019
Wisconsin,-1.1,-1.1,0,1,0,1,0,0,0,0,0,0,0,3,0,2019,2019
Iowa St.,-1.1,-1.1,0,1,0,1,0,0,0,0,0,0,0,4,0,2019,2019
Mississippi St.,-1.2,-1.1,0,1,0,1,0,0,0,0,0,0,0,3,0,2019,2019
Kansas St.,-1.4,-1.5,0,1,0,1,0,0,0,0,0,0,0,5,0,2019,2019
UCLA,3,3.4,4,1,0.8,1,1,1,1,1,0,0,0,5,0,2021,2021
Baylor,2.7,2.7,6,0,1,1,1,1,1,1,1,1,1,46,18,2021,2021
Oregon St.,2.4,2.5,3,1,0.75,1,1,1,1,0,0,0,0,1,0,2021,2021
Oral Roberts,1.9,1.9,2,1,0.667,1,1,1,0,0,0,0,0,0,0,2021,2021
Arkansas,1.6,1.2,3,1,0.75,1,1,1,1,0,0,0,0,6,0,2021,2021
Syracuse,1.3,1.4,2,1,0.667,1,1,1,0,0,0,0,0,1,0,2021,2021
Gonzaga,1.1,1.7,5,1,0.833,1,1,1,1,1,1,0,1,56,30,2021,2021
Houston,1.1,1.6,4,1,0.8,1,1,1,1,1,0,0,1,35,10,2021,2021
USC,1,1.9,3,1,0.75,1,1,1,1,0,0,0,0,12,3,2021,2021
Loyola Chicago,0.9,1.3,2,1,0.667,1,1,1,0,0,0,0,0,6,1,2021,2021
Creighton,0.8,0.9,2,1,0.667,1,1,1,0,0,0,0,0,3,0,2021,2021
Abilene Christian,0.8,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2021,2021
North Texas,0.6,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2021,2021
Ohio,0.6,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2021,2021
Michigan,0.5,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,27,6,2021,2021
Oregon,0.4,1.1,2,1,0.667,1,1,1,0,0,0,0,0,4,0,2021,2021
Villanova,0.4,0.9,2,1,0.667,1,1,1,0,0,0,0,0,8,1,2021,2021
Oklahoma,0.4,0.3,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2021,2021
Maryland,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2021,2021
Rutgers,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2021,2021
Florida St.,0.3,0.5,2,1,0.667,1,1,1,0,0,0,0,0,11,1,2021,2021
Florida,0.1,0.1,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2021,2021
LSU,0.1,0.3,1,1,0.5,1,1,0,0,0,0,0,0,3,0,2021,2021
VCU,0,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Norfolk St.,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Wisconsin,-0,0.4,1,1,0.5,1,1,0,0,0,0,0,0,6,1,2021,2021
Alabama,-0,-0.4,2,1,0.667,1,1,1,0,0,0,0,1,16,2,2021,2021
Hartford,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Texas Southern,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Cleveland St.,-0,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Drexel,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Iona,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
UNC Greensboro,-0.1,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Morehead St.,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Grand Canyon,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Kansas,-0.2,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2021,2021
Drake,-0.2,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Oklahoma St.,-0.2,-0.5,1,1,0.5,1,1,0,0,0,0,0,0,3,0,2021,2021
Winthrop,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Eastern Washington,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Liberty,-0.4,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Texas Tech,-0.4,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,7,1,2021,2021
Colgate,-0.4,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Georgetown,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
UC Santa Barbara,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
North Carolina,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,1,0,2021,2021
Colorado,-0.5,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,11,1,2021,2021
West Virginia,-0.6,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,7,0,2021,2021
Missouri,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2021,2021
Utah St.,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2021,2021
Georgia Tech,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,2,0,2021,2021
St. Bonaventure,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2021,2021
Clemson,-0.7,-0.9,0,1,0,1,0,0,0,0,0,0,0,1,0,2021,2021
Virginia Tech,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2021,2021
BYU,-0.9,-1.1,0,1,0,1,0,0,0,0,0,0,0,4,0,2021,2021
Iowa,-1.1,-1.4,1,1,0.5,1,1,0,0,0,0,0,1,13,3,2021,2021
Connecticut,-1.1,-0.9,0,1,0,1,0,0,0,0,0,0,0,6,0,2021,2021
San Diego St.,-1.2,-1.1,0,1,0,1,0,0,0,0,0,0,0,5,0,2021,2021
Tennessee,-1.2,-1.1,0,1,0,1,0,0,0,0,0,0,0,5,0,2021,2021
Purdue,-1.2,-1.5,0,1,0,1,0,0,0,0,0,0,0,4,0,2021,2021
Virginia,-1.3,-1.5,0,1,0,1,0,0,0,0,0,0,0,4,0,2021,2021
Texas,-1.5,-1.8,0,1,0,1,0,0,0,0,0,0,0,7,0,2021,2021
Illinois,-1.5,-2.3,1,1,0.5,1,1,0,0,0,0,0,1,27,6,2021,2021
Ohio St.,-2.1,-2.4,0,1,0,1,0,0,0,0,0,0,1,14,2,2021,2021
North Carolina,3.8,4.3,5,1,0.833,1,1,1,1,1,1,0,0,6,0,2022,2022
Kansas,2.9,2.7,6,0,1,1,1,1,1,1,1,1,1,41,14,2022,2022
Saint Peter's,2.8,2.9,3,1,0.75,1,1,1,1,0,0,0,0,0,0,2022,2022
Miami FL,2.1,2.4,3,1,0.75,1,1,1,1,0,0,0,0,3,0,2022,2022
Villanova,1.8,1.6,4,1,0.8,1,1,1,1,1,0,0,1,16,3,2022,2022
Arkansas,1.8,1.5,3,1,0.75,1,1,1,1,0,0,0,0,4,0,2022,2022
Duke,1.5,1.6,4,1,0.8,1,1,1,1,1,0,0,1,19,5,2022,2022
Iowa St.,1.3,1.4,2,1,0.667,1,1,1,0,0,0,0,0,2,0,2022,2022
Michigan,1.1,1.4,2,1,0.667,1,1,1,0,0,0,0,0,2,0,2022,2022
Providence,1,0.5,2,1,0.667,1,1,1,0,0,0,0,0,3,0,2022,2022
Richmond,0.8,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2022,2022
Notre Dame,0.6,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2022,2022
New Mexico St.,0.6,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0,0,2022,2022
Creighton,0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2022,2022
Houston,0.4,1.9,3,1,0.75,1,1,1,1,0,0,0,0,29,10,2022,2022
Murray St.,0.4,0.1,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2022,2022
Michigan St.,0.3,0.1,1,1,0.5,1,1,0,0,0,0,0,0,1,0,2022,2022
Ohio St.,0.2,0.1,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2022,2022
Purdue,0.1,0.2,2,1,0.667,1,1,1,0,0,0,0,0,13,2,2022,2022
TCU,0,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2,0,2022,2022
Memphis,0,0.4,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2022,2022
UCLA,0,0.5,2,1,0.667,1,1,1,0,0,0,0,0,15,2,2022,2022
Texas Southern,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Wright St.,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Texas,-0,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,6,0,2022,2022
Norfolk St.,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Cal St. Fullerton,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Georgia St.,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Montana St.,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Longwood,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Yale,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Delaware,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Saint Mary's,-0.1,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,5,0,2022,2022
Akron,-0.1,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Jacksonville St.,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Illinois,-0.1,-0.5,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2022,2022
UAB,-0.2,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Arizona,-0.2,-1.3,2,1,0.667,1,1,1,0,0,0,0,1,16,3,2022,2022
Colgate,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Marquette,-0.3,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Chattanooga,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Wisconsin,-0.4,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,4,0,2022,2022
Indiana,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,2022,2022
South Dakota St.,-0.4,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Boise St.,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Seton Hall,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Vermont,-0.5,-0.3,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Colorado St.,-0.5,-1.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Texas Tech,-0.6,0.2,2,1,0.667,1,1,1,0,0,0,0,0,23,7,2022,2022
USC,-0.6,-0.9,0,1,0,1,0,0,0,0,0,0,0,1,0,2022,2022
Davidson,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,0,0,2022,2022
Loyola Chicago,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1,0,2022,2022
Alabama,-0.8,-1.1,0,1,0,1,0,0,0,0,0,0,0,1,0,2022,2022
San Diego St.,-0.8,-0.7,0,1,0,1,0,0,0,0,0,0,0,2,0,2022,2022
Virginia Tech,-0.8,-0.6,0,1,0,1,0,0,0,0,0,0,0,4,0,2022,2022
San Francisco,-1,-0.6,0,1,0,1,0,0,0,0,0,0,0,3,0,2022,2022
Gonzaga,-1.2,-1.3,2,1,0.667,1,1,1,0,0,0,0,1,39,17,2022,2022
Connecticut,-1.2,-1.1,0,1,0,1,0,0,0,0,0,0,0,2,0,2022,2022
LSU,-1.2,-1.1,0,1,0,1,0,0,0,0,0,0,0,5,0,2022,2022
Auburn,-1.3,-1.4,1,1,0.5,1,1,0,0,0,0,0,1,19,3,2022,2022
Tennessee,-1.4,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,22,6,2022,2022
Baylor,-1.5,-2.3,1,1,0.5,1,1,0,0,0,0,0,1,26,7,2022,2022
Iowa,-2,-1.1,0,1,0,1,0,0,0,0,0,0,0,15,3,2022,2022
Kentucky,-2,-2.4,0,1,0,1,0,0,0,0,0,0,1,16,3,2022,2022
